Station,Date,CHLA,DO,SALINITY,TN,TP,WTEMP,James_discharge,James_acc_flow_30d,James_acc_flow_60d,James_acc_flow_90d,Potomac_discharge,Potomac_acc_flow_30d,Potomac_acc_flow_60d,Potomac_acc_flow_90d,Susquehanna_discharge,Susquehanna_acc_flow_30d,Susquehanna_acc_flow_60d,Susquehanna_acc_flow_90d
CB8.1,1985-11-12,4.23,8.1,21.5,0.5623,0.056,16.2,12100,816210.0,872400.0,1134590.0,26300,930380.0,979723.0,1059703.0,24700,389756.0,841070.0,1066640.0
CB8.1,1985-12-09,4.97,11.8,22.81,0.5011,0.048,9.8,9320,382440.0,1153370.0,1212340.0,16000,768600.0,1605470.0,1656053.0,57800,2325670.0,2683946.0,3147120.0
CB8.1,1986-01-07,28.81,12.2,21.8,0.509,0.05,3.5,4030,165420.0,573540.0,1311590.0,5400,316600.0,1123600.0,1907560.0,21000,1014200.0,3304970.0,3658346.0
CB8.1,1986-02-21,6.95,13.4,20.05,0.4866,0.036,4.8,9590,225510.0,347200.0,683440.0,74600,503400.0,672800.0,1341100.0,89800,1538300.0,2149220.0,4138320.0
CB8.1,1986-03-10,10.43,12.1,19.7,0.5201,0.037,4.6,5910,266790.0,414020.0,569520.0,10900,746100.0,981300.0,1276600.0,31800,1909000.0,3056420.0,3997220.0
CB8.1,1986-03-25,10.22,12.2,18.38,0.7028,0.031,7.0,7490,329810.0,566640.0,687010.0,14800,871300.0,1475200.0,1641900.0,84600,3377900.0,5029000.0,5781620.0
CB8.1,1986-04-08,19.44,9.8,21.01,0.6023,0.049,12.4,4540,293020.0,565500.0,704880.0,8280,710840.0,1473040.0,1685940.0,34500,3075700.0,5022800.0,6117120.0
CB8.1,1986-04-28,6.48,9.7,20.5,0.6236,0.043,13.4,4120,144120.0,460480.0,714590.0,9930,358740.0,1146840.0,1849940.0,47300,1827900.0,4967700.0,6849000.0
CB8.1,1986-05-14,2.58,8.8,23.2,0.3901,0.035,15.4,3140,121040.0,401920.0,645410.0,4350,325480.0,976980.0,1717280.0,16100,1633900.0,4423000.0,6534400.0
CB8.1,1986-05-26,7.88,8.2,22.5,0.6303,0.039,19.6,6350,134300.0,282670.0,605740.0,10000,218820.0,579530.0,1404230.0,50600,881480.0,2731780.0,5958780.0
CB8.1,1986-06-10,8.98,8.3,22.5,0.4137499999999999,0.033,22.7,2310,137920.0,262540.0,551720.0,3340,178160.0,514770.0,1218360.0,60300,868880.0,2539780.0,5619080.0
CB8.1,1986-07-14,3.7,5.5,23.86,0.40375,0.016,28.5,640,35303.0,170423.0,290683.0,1760,62990.0,238660.0,560430.0,15600,674830.0,1625410.0,3247910.0
CB8.1,1986-08-25,23.9,8.3,25.0,0.395,0.038,25.2,2390,54670.0,85728.0,162362.0,1850,42942.0,100652.0,203912.0,25000,617710.0,1125140.0,2112940.0
CB8.1,1986-10-08,2.0,6.2,26.7,0.59,0.056,22.8,1010,43250.0,103254.0,138658.0,985,28061.0,71893.0,118583.0,31400,298810.0,724650.0,1378870.0
CB8.1,1986-10-28,10.5,9.7,23.8,0.366,0.017,17.6,1660,36111.0,88741.0,141981.0,1060,30423.0,59570.0,103652.0,15000,493330.0,709920.0,1305330.0
CB8.1,1986-11-18,1.9,8.4,25.5,0.545,0.055,13.0,2090,58820.0,95261.0,160921.0,2790,67498.0,96287.0,135274.0,35200,675798.0,1110458.0,1417938.0
CB8.1,1986-12-08,2.6,9.2,23.8,0.564,0.043,9.7,5230,117990.0,161117.0,202271.0,9040,186520.0,221543.0,249454.0,80600,2194460.0,2619938.0,2956888.0
CB8.1,1987-01-06,12.5,11.0,21.2,0.651,0.039,5.0,5220,284460.0,399540.0,441231.0,7420,349630.0,529490.0,563223.0,34100,1561700.0,3687960.0,4144238.0
CB8.1,1987-02-25,15.0,12.1,21.6,0.514,0.038,3.4,14800,294070.0,535630.0,791030.0,7680,377830.0,755850.0,1064470.0,20300,691640.0,1752640.0,3964440.0
CB8.1,1987-03-18,20.0,12.2,19.2,0.617,0.03,6.9,7710,487890.0,801410.0,1060990.0,10400,497110.0,976870.0,1305730.0,50400,1488760.0,2302620.0,3516220.0
CB8.1,1987-03-23,27.4,12.8,19.5,0.47375,0.024,6.4,5780,484600.0,779480.0,1071090.0,7940,498220.0,924640.0,1317090.0,35800,1563910.0,2265420.0,3470120.0
CB8.1,1987-04-06,28.2,11.4,20.8,0.4337499999999999,0.028,8.7,14300,309180.0,797700.0,1033670.0,83800,492960.0,1009470.0,1376280.0,207000,1981600.0,2898120.0,3735420.0
CB8.1,1987-05-06,32.5,10.2,16.0,0.46375,0.038,14.4,15800,1060260.0,1369440.0,1857960.0,32800,1258900.0,1751860.0,2268370.0,48100,2338300.0,4319900.0,5236420.0
CB8.1,1987-05-18,22.1,8.7,18.6,0.86375,0.031,17.9,5670,797710.0,1348900.0,1836840.0,8770,893420.0,1776950.0,2274170.0,23400,1178700.0,3780700.0,5289060.0
CB8.1,1987-06-01,14.4,10.1,18.8,0.4237499999999999,0.034,22.2,6250,260630.0,1331390.0,1684970.0,8250,445260.0,1824460.0,2248520.0,23200,827790.0,3491490.0,5284090.0
CB8.1,1987-06-15,9.6,6.7,22.9,0.54375,0.038,22.2,3770,174200.0,1189990.0,1526100.0,4290,277150.0,1315150.0,2056010.0,23200,599490.0,1888290.0,4433890.0
CB8.1,1987-07-06,5.6,7.4,25.3,0.47375,0.03,24.8,3450,93540.0,311560.0,1373420.0,4400,173050.0,545040.0,1772140.0,32800,474070.0,1183760.0,3337360.0
CB8.1,1987-07-20,5.5,6.5,24.1,0.48375,0.039,25.8,1360,72990.0,233350.0,793460.0,2590,159610.0,406800.0,1031800.0,22000,583000.0,1141320.0,2196420.0
CB8.1,1987-08-03,3.5,6.8,25.6,0.46,0.033,26.1,990,55432.0,158102.0,391402.0,1140,86740.0,271270.0,687160.0,7450,520190.0,973460.0,1750650.0
CB8.1,1987-08-17,12.7,6.8,25.3,0.54375,0.046,26.4,883,32453.0,107763.0,274603.0,1030,44282.0,204622.0,466662.0,17400,273430.0,846000.0,1442990.0
CB8.1,1987-09-03,10.2,7.5,26.2,0.522,0.036,24.8,476,27986.0,81677.0,179617.0,959,32440.0,114180.0,293230.0,12800,217960.0,728200.0,1182470.0
CB8.1,1987-09-14,6.2,7.2,23.5,0.585,0.05,25.5,20600,261005.0,296025.0,373175.0,11900,94810.0,145394.0,304764.0,56000,365260.0,644710.0,1230080.0
CB8.1,1987-10-05,3.8,7.6,25.3,0.46715,0.069,19.0,2760,367101.0,394244.0,443065.0,3320,224120.0,256234.0,331814.0,18900,982120.0,1196470.0,1662110.0
CB8.1,1987-10-21,6.5,9.7,23.2,0.6461,0.019,16.8,2100,108090.0,415175.0,445425.0,2080,117130.0,278208.0,314584.0,18400,703230.0,1389790.0,1615480.0
CB8.1,1987-12-14,4.1,10.1,23.2,0.44145,0.022,8.5,7250,211240.0,287080.0,423600.0,5440,300710.0,377660.0,539930.0,32100,1184800.0,1726600.0,2630650.0
CB8.1,1988-01-12,11.0,12.5,21.9,0.499,0.0252,2.1,4300,180190.0,389880.0,462590.0,4800,288060.0,587640.0,662550.0,17700,864510.0,2030910.0,2584610.0
CB8.1,1988-02-22,25.0,11.5,21.1,0.4931,0.0293,4.9,5100,231710.0,447710.0,680990.0,10700,415230.0,791210.0,1122540.0,45200,1587030.0,2330790.0,3572290.0
CB8.1,1988-03-22,17.8,11.1,21.1,0.4198,0.027,6.4,3900,135540.0,381850.0,582890.0,5640,266500.0,706730.0,1058210.0,39000,1355000.0,2934930.0,3690890.0
CB8.1,1988-04-11,10.9,9.0,22.4,0.42,0.0259,12.2,5920,159310.0,314920.0,584010.0,27800,303270.0,600540.0,1082990.0,50100,1580200.0,2773500.0,4191480.0
CB8.1,1988-04-25,5.9,8.8,22.8,0.307,0.0244,12.1,4330,170630.0,301460.0,508580.0,6220,359680.0,608900.0,989180.0,26300,1300090.0,2606890.0,4212920.0
CB8.1,1988-05-09,2.8,8.9,21.3,0.2185,0.028,15.1,9350,160870.0,317870.0,477950.0,64300,491480.0,749000.0,1052720.0,42400,955690.0,2545490.0,3748690.0
CB8.1,1988-05-24,4.4,7.8,14.1,0.2185,0.0227,21.3,9900,219960.0,390320.0,522190.0,59600,1005830.0,1366780.0,1617780.0,118000,1611700.0,2910890.0,4236390.0
CB8.1,1988-06-07,3.7,7.7,19.3,0.2895,0.03,20.0,4120,227610.0,385430.0,540800.0,8590,1102060.0,1573240.0,1798360.0,28300,1829000.0,2786890.0,4382090.0
CB8.1,1988-06-20,6.3,7.8,20.2,0.307,0.024,23.1,2270,157330.0,353810.0,522490.0,4200,598170.0,1417760.0,1773730.0,16400,1300170.0,2520360.0,3872060.0
CB8.1,1988-08-08,6.7,5.9,23.0,0.408,0.0365,27.4,1220,54020.0,116507.0,331907.0,1440,69860.0,177390.0,1188710.0,7230,332810.0,611740.0,2410040.0
CB8.1,1988-08-23,7.0,6.8,24.4,0.347,0.0438,25.3,704,47546.0,89673.0,210223.0,1390,49080.0,117960.0,462330.0,5470,303360.0,517430.0,1312610.0
CB8.1,1988-09-09,3.5,6.7,26.2,0.3335,0.0539,21.7,2530,38338.0,92508.0,150455.0,3450,59050.0,128750.0,224570.0,19600,354520.0,695630.0,959690.0
CB8.1,1988-09-19,4.5,7.0,23.3,0.437,0.0586,22.4,1020,42211.0,93474.0,136271.0,1450,66540.0,127220.0,190120.0,8400,395860.0,729690.0,929040.0
CB8.1,1988-10-03,7.2,7.4,25.0,0.285,0.026,22.0,1450,39883.0,75091.0,127748.0,1850,63200.0,111520.0,181420.0,4310,351900.0,629060.0,956610.0
CB8.1,1988-10-24,3.0,8.1,25.8,0.337,0.045,14.9,1520,37022.0,80892.0,121061.0,1760,45570.0,114260.0,160710.0,4440,208400.0,627120.0,909520.0
CB8.1,1988-11-07,3.4,8.3,27.5,0.2885,0.03,13.3,1660,39127.0,77090.0,113998.0,2080,42340.0,98860.0,155710.0,9040,268090.0,554400.0,894980.0
CB8.1,1988-12-05,2.1,8.7,26.3,0.3395,0.038,9.6,2700,92930.0,131257.0,170490.0,2640,123610.0,165400.0,226050.0,25700,921560.0,1185600.0,1511200.0
CB8.1,1989-01-16,1.8,10.8,22.8,0.3215,0.01225,5.9,4680,94920.0,187120.0,239135.0,16300,148630.0,265330.0,322100.0,41200,586750.0,1384750.0,1876610.0
CB8.1,1989-02-13,2.3,11.0,22.5,0.2274999999999999,0.019,5.0,2770,128270.0,218250.0,309950.0,3470,218370.0,337330.0,456450.0,20400,679050.0,1213670.0,2066000.0
CB8.1,1989-03-13,3.2,11.8,19.9,0.42,0.026,4.2,8940,261670.0,392840.0,478290.0,22100,356110.0,591300.0,689610.0,31900,866940.0,1574750.0,2065170.0
CB8.1,1989-04-03,5.8,9.6,22.6,0.413,0.019,10.3,5750,339390.0,495770.0,626870.0,21400,652510.0,865840.0,1098960.0,179000,1688300.0,2510700.0,3211620.0
CB8.1,1989-04-17,12.0,10.5,20.1,0.423,0.024,11.8,6020,267740.0,548190.0,669650.0,7490,527760.0,964180.0,1146560.0,41600,2391900.0,3325900.0,3959750.0
CB8.1,1989-05-03,2.8,8.0,21.4,0.3315,0.018,16.3,64700,332440.0,671830.0,828210.0,29800,303700.0,956210.0,1169540.0,26300,1513700.0,3202000.0,4024400.0
CB8.1,1989-05-18,1.0,8.4,18.8,0.53,0.021,16.7,12000,774450.0,1041940.0,1324720.0,92000,1023140.0,1543000.0,1989010.0,232000,2614800.0,5031000.0,5959700.0
CB8.1,1989-06-12,5.1,7.7,21.3,0.334,0.02,22.8,10900,254440.0,979940.0,1249040.0,10700,730580.0,1486550.0,2059480.0,39100,2435100.0,4277500.0,6644800.0
CB8.1,1989-06-27,5.5,6.4,19.4,0.387,0.029,25.7,7000,228020.0,1011280.0,1215230.0,15900,396890.0,1625910.0,1971690.0,107000,2024300.0,5257700.0,7352900.0
CB8.1,1989-07-11,11.3,6.6,19.6,0.311,0.039,26.4,7730,236280.0,507320.0,1211210.0,8880,396260.0,1172940.0,1880900.0,47700,2222100.0,4829100.0,6517500.0
CB8.1,1989-07-24,10.6,5.8,19.3,0.598,0.06,26.3,5770,253280.0,473730.0,1271740.0,21100,383450.0,772640.0,1963800.0,48400,1705200.0,3530500.0,6682200.0
CB8.1,1989-08-15,19.1,7.6,16.6,0.482,0.045,24.8,3310,196730.0,422610.0,640920.0,3580,317590.0,704350.0,1259030.0,16000,876920.0,3096720.0,4958520.0
CB8.1,1989-09-11,13.6,8.2,20.2,0.437,0.045,24.7,2580,128820.0,335270.0,564000.0,2470,167000.0,499620.0,889080.0,14700,321100.0,1276290.0,3495490.0
CB8.1,1989-10-10,6.0,8.2,20.5,0.407,0.048,17.4,8490,452060.0,581370.0,790380.0,5770,189810.0,357820.0,693960.0,7630,338560.0,655860.0,1639350.0
CB8.1,1989-11-13,4.9,7.9,21.1,0.437,0.043,15.6,4970,287450.0,752460.0,882100.0,5200,245450.0,443210.0,607860.0,30800,985030.0,1325620.0,1623480.0
