SampleDate,CHLA,SALINITY,TN,TP,WTEMP,DO,Station
1984-07-23,11.07,18.8,0.6153,0.031,24.7,12.5,CB6.4
1984-08-07,10.56,14.5,0.4275,0.042,27.7,2.5,CB6.4
1984-08-27,11.86,17.4,0.6275,0.058,27.2,3.9,CB6.4
1984-09-10,14.9,19.2,0.4103,0.05,23.9,4.0,CB6.4
1984-09-24,11.81,20.3,0.4675,0.035,22.8,4.7,CB6.4
1984-10-08,17.74,19.8,0.5175000000000001,0.04,18.2,8.1,CB6.4
1984-10-22,14.02,20.6,0.3275,0.029,17.4,5.2,CB6.4
1984-11-16,5.0,20.28,0.479,0.036,12.5,9.1,CB6.4
1984-12-11,4.39,21.82,0.3846,0.019,7.5,9.4,CB6.4
1985-01-24,10.71,23.15,0.2813,0.064,0.7,11.8,CB6.4
1985-02-14,15.17,20.9,0.348,0.033,0.7,11.5,CB6.4
1985-03-05,8.63,18.94,0.439,0.023,5.8,10.4,CB6.4
1985-03-26,12.32,20.8,0.391,0.038,5.8,10.0,CB6.4
1985-04-11,16.45,22.5,0.4875,0.063,9.8,9.8,CB6.4
1985-04-23,0.0,18.54,0.4009,0.035,17.1,10.4,CB6.4
1985-05-07,8.99,21.96,0.3264,0.077,16.8,8.1,CB6.4
1985-05-22,3.79,21.88,0.2275,0.037,20.3,5.2,CB6.4
1985-06-03,12.08,19.57,0.7575000000000001,0.032,22.6,6.5,CB6.4
1985-06-17,7.49,21.48,0.8574999999999999,0.048,23.9,5.4,CB6.4
1985-07-08,4.81,20.34,0.4775,0.063,25.4,4.8,CB6.4
1985-07-22,0.19,23.1,0.5575000000000001,0.048,26.2,5.8,CB6.4
1985-08-06,1.98,22.12,0.3075,0.025,26.1,5.9,CB6.4
1985-08-20,7.21,23.33,0.3675,0.042,27.4,7.4,CB6.4
1985-09-10,5.55,21.76,0.5774999999999999,0.047,28.1,1.1,CB6.4
1985-09-30,0.0,22.81,0.4575,0.058,23.3,6.5,CB6.4
1985-10-09,4.81,22.44,0.5075000000000001,0.036,22.2,2.4,CB6.4
1985-11-06,4.68,22.09,0.5774999999999999,0.043,15.7,7.8,CB6.4
1985-11-12,5.98,24.26,0.4322,0.044,16.5,7.9,CB6.4
1985-12-09,1.12,18.79,0.4703,0.039,9.6,11.2,CB6.4
1986-01-06,23.95,20.98,0.5254,0.043,4.8,14.2,CB6.4
1986-02-21,5.47,17.95,0.4974,0.026,3.2,10.0,CB6.4
1986-03-10,10.93,18.02,0.7221,0.043,3.1,12.2,CB6.4
1986-03-25,14.32,16.52,0.723,0.024,7.0,10.2,CB6.4
1986-04-08,4.91,16.92,0.6818,0.026,11.9,8.4,CB6.4
1986-04-28,0.19,18.0,0.7319,0.028,14.1,8.0,CB6.4
1986-05-14,1.71,20.2,0.5755,0.031,15.5,9.7,CB6.4
1986-05-26,4.41,19.3,0.5552,0.026,20.4,8.1,CB6.4
1986-06-10,7.03,21.6,0.43374999999999997,0.03,23.6,7.0,CB6.4
1986-06-26,6.94,22.4,0.44375,0.033,23.6,6.8,CB6.4
1986-07-14,6.84,18.92,0.36375,0.028,29.1,4.0,CB6.4
1986-08-11,4.6,24.9,0.5037499999999999,0.053,27.0,4.5,CB6.4
1986-08-25,10.5,23.6,0.5137499999999999,0.027,25.1,5.5,CB6.4
