MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"CB6.4",64344,"BAY099","TWQM","MAIN","VADEQ","ODU","CB6.4",5/18/1989,10:30:00,11,8.00,9.00,10,"B ","D","S1","CHLA",,1.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64344,"BAY099","TWQM","MAIN","VADEQ","ODU","CB6.4",5/18/1989,10:30:00,11,8.00,9.00,10,"BP","D","S1","CHLA",,2.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64601,"BAY100","TWQM","MAIN","VADEQ","ODU","CB6.4",6/12/1989,13:40:00,11,6.00,7.00,1,"S ","D","S1","CHLA",,4.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64601,"BAY100","TWQM","MAIN","VADEQ","ODU","CB6.4",6/12/1989,13:40:00,11,6.00,7.00,5,"AP","D","S1","CHLA",,2.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64601,"BAY100","TWQM","MAIN","VADEQ","ODU","CB6.4",6/12/1989,13:40:00,11,6.00,7.00,8,"BP","D","S1","CHLA",,3.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64601,"BAY100","TWQM","MAIN","VADEQ","ODU","CB6.4",6/12/1989,13:40:00,11,6.00,7.00,10,"B ","D","S1","CHLA",,1.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64901,"BAY101","TWQM","MAIN","VADEQ","ODU","CB6.4",6/27/1989,12:32:00,9.5,3.00,4.00,1,"S ","D","S1","CHLA",,7.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64901,"BAY101","TWQM","MAIN","VADEQ","ODU","CB6.4",6/27/1989,12:32:00,9.5,3.00,4.00,2,"AP","D","S1","CHLA",,9.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64901,"BAY101","TWQM","MAIN","VADEQ","ODU","CB6.4",6/27/1989,12:32:00,9.5,3.00,4.00,5,"BP","D","S1","CHLA",,2.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",64901,"BAY101","TWQM","MAIN","VADEQ","ODU","CB6.4",6/27/1989,12:32:00,9.5,3.00,4.00,8.5,"B ","D","S1","CHLA",,0.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
